rule_name,rule_label,fill_mode,horizon_days,signal_date,signal_time,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,max_drawdown_pct,strategy_trade_no
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20250527,20250527130500,20250528,3.736,20250530,3.7505,0.003881,-0.004015,-0.012473,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20250801,20250801130500,20250804,3.999,20250806,4.0735,0.01863,-0.00125,-0.009179,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20251020,20251020140500,20251021,4.533,20251023,4.593,0.013236,-0.003088,-0.017609,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20251118,20251118131500,20251119,4.555,20251121,4.486,-0.015148,-0.025467,-0.036257,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20251121,20251121144500,20251124,4.456,20251126,4.513,0.012792,-0.010323,-0.011654,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20251127,20251127144000,20251128,4.498,20251202,4.553,0.012228,-0.004002,-0.010734,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20251216,20251216130500,20251217,4.496,20251219,4.578,0.018238,-0.000667,-0.021559,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20260122,20260122130500,20260123,4.732,20260127,4.726,-0.001268,-0.0112,-0.017017,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20260202,20260202130500,20260203,4.64,20260205,4.687,0.010129,-0.011853,-0.017781,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20260320,20260320143000,20260323,4.528,20260325,4.5465,0.004086,-0.027164,-0.029094,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20260326,20260326130500,20260327,4.45,20260331,4.496,0.010337,-0.001124,-0.018764,11
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20260331,20260331130500,20260401,4.52,20260403,4.48,-0.00885,-0.016372,-0.021136,12
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,3,20260403,20260403130500,20260407,4.455,20260409,4.579,0.027834,-0.005387,-0.018897,13
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20250527,20250527130500,20250528,3.736,20250604,3.7685,0.008699,-0.004015,-0.012473,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20250801,20250801130500,20250804,3.999,20250808,4.069,0.017504,-0.00125,-0.009542,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20251020,20251020140500,20251021,4.533,20251027,4.7055,0.038054,-0.003088,-0.017609,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20251118,20251118131500,20251119,4.555,20251125,4.487,-0.014929,-0.031833,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20251127,20251127144000,20251128,4.498,20251204,4.541,0.00956,-0.004002,-0.013143,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20251216,20251216130500,20251217,4.496,20251223,4.6285,0.029471,-0.000667,-0.021559,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20260122,20260122130500,20260123,4.732,20260129,4.7735,0.00877,-0.0112,-0.017017,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20260202,20260202130500,20260203,4.64,20260209,4.7285,0.019073,-0.011853,-0.021024,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20260320,20260320143000,20260323,4.528,20260327,4.519,-0.001988,-0.027164,-0.029094,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,5,20260331,20260331130500,20260401,4.52,20260408,4.603,0.018363,-0.01969,-0.024439,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,20250527,20250527130500,20250528,3.736,20250611,3.803,0.017934,-0.004015,-0.013688,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,20250801,20250801130500,20250804,3.999,20250815,4.1755,0.044136,-0.00125,-0.015072,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,20251020,20251020140500,20251021,4.533,20251103,4.642,0.024046,-0.003088,-0.035571,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,20251118,20251118131500,20251119,4.555,20251202,4.553,-0.000439,-0.031833,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,20251216,20251216130500,20251217,4.496,20251230,4.6585,0.036143,-0.000667,-0.021559,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,20260122,20260122130500,20260123,4.732,20260205,4.687,-0.00951,-0.031065,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,20260320,20260320143000,20260323,4.528,20260403,4.48,-0.010601,-0.027164,-0.029094,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,10,20260403,20260403130500,20260407,4.455,20260420,4.771,0.070932,-0.005387,-0.018897,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,20,20250527,20250527130500,20250528,3.736,20250625,3.879,0.038276,-0.004015,-0.019407,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,20,20250801,20250801130500,20250804,3.999,20250829,4.484,0.12128,-0.00125,-0.029807,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,20,20251020,20251020140500,20251021,4.533,20251117,4.602,0.015222,-0.003088,-0.043359,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,20,20251118,20251118131500,20251119,4.555,20251216,4.5205,-0.007574,-0.031833,-0.044051,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,20,20251216,20251216130500,20251217,4.496,20260115,4.7615,0.059052,-0.000667,-0.025609,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,20,20260122,20260122130500,20260123,4.732,20260227,4.7285,-0.00074,-0.031065,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,next_open,20,20260320,20260320143000,20260323,4.528,20260420,4.771,0.053666,-0.027164,-0.029094,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20250527,20250527130500,20250527,3.737,20250529,3.7615,0.006556,-0.002676,-0.010616,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20250801,20250801130500,20250801,4.017,20250805,4.061,0.010953,-0.005726,-0.011141,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251020,20251020140500,20251020,4.514,20251022,4.5785,0.014289,-0.00288,-0.015435,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251118,20251118131500,20251118,4.562,20251120,4.5795,0.003836,-0.004603,-0.012158,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251121,20251121144500,20251121,4.446,20251125,4.487,0.009222,-0.008097,-0.026705,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251127,20251127144000,20251127,4.504,20251201,4.5645,0.013433,-0.005329,-0.015601,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20251216,20251216130500,20251216,4.49,20251218,4.557,0.014922,-0.002673,-0.021559,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260122,20260122130500,20260122,4.711,20260126,4.736,0.005307,-0.005094,-0.015336,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260202,20260202130500,20260202,4.655,20260204,4.708,0.011386,-0.015038,-0.028396,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260320,20260320143000,20260320,4.599,20260324,4.4795,-0.025984,-0.042183,-0.049622,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260326,20260326130500,20260326,4.519,20260330,4.5025,-0.003651,-0.016375,-0.022432,11
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260331,20260331130500,20260331,4.487,20260402,4.5075,0.004569,-0.005572,-0.015852,12
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,3,20260403,20260403130500,20260403,4.457,20260408,4.603,0.032757,-0.005834,-0.018897,13
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20250527,20250527130500,20250527,3.737,20250603,3.7535,0.004415,-0.004282,-0.012473,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20250801,20250801130500,20250801,4.017,20250807,4.0785,0.01531,-0.005726,-0.011141,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20251020,20251020140500,20251020,4.514,20251024,4.648,0.029685,-0.00288,-0.017609,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20251118,20251118131500,20251118,4.562,20251124,4.448,-0.024989,-0.033319,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20251127,20251127144000,20251127,4.504,20251203,4.5415,0.008326,-0.005329,-0.015601,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20251216,20251216130500,20251216,4.49,20251222,4.6095,0.026615,-0.002673,-0.021559,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20260122,20260122130500,20260122,4.711,20260128,4.734,0.004882,-0.006793,-0.017017,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20260202,20260202130500,20260202,4.655,20260206,4.67,0.003222,-0.015038,-0.028396,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20260320,20260320143000,20260320,4.599,20260326,4.5175,-0.017721,-0.042183,-0.049622,9
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,5,20260331,20260331130500,20260331,4.487,20260407,4.458,-0.006463,-0.01248,-0.024439,10
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20250527,20250527130500,20250527,3.737,20250610,3.7775,0.010838,-0.004282,-0.013688,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20250801,20250801130500,20250801,4.017,20250814,4.1565,0.034727,-0.005726,-0.013158,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20251020,20251020140500,20251020,4.514,20251031,4.668,0.034116,-0.00288,-0.025047,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20251118,20251118131500,20251118,4.562,20251201,4.5645,0.000548,-0.033319,-0.042553,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20251216,20251216130500,20251216,4.49,20251229,4.6555,0.03686,-0.002673,-0.021559,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20260122,20260122130500,20260122,4.711,20260204,4.708,-0.000637,-0.026746,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20260320,20260320143000,20260320,4.599,20260402,4.5075,-0.019896,-0.042183,-0.049622,7
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,10,20260403,20260403130500,20260403,4.457,20260417,4.7445,0.064505,-0.005834,-0.018897,8
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20250527,20250527130500,20250527,3.737,20250624,3.82,0.02221,-0.004282,-0.019407,1
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20250801,20250801130500,20250801,4.017,20250828,4.437,0.104556,-0.005726,-0.029807,2
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20251020,20251020140500,20251020,4.514,20251114,4.6455,0.029132,-0.00288,-0.043359,3
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20251118,20251118131500,20251118,4.562,20251215,4.5665,0.000986,-0.033319,-0.044051,4
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20251216,20251216130500,20251216,4.49,20260114,4.7845,0.06559,-0.002673,-0.025609,5
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20260122,20260122130500,20260122,4.711,20260226,4.7445,0.007111,-0.026746,-0.040594,6
intraday_weak_late_low,盘中弱势低位-低点偏晚,same_bar_close,20,20260320,20260320143000,20260320,4.599,20260417,4.7445,0.031637,-0.042183,-0.049622,7
intraday_weak_low,盘中弱势低位预警,next_open,3,20250527,20250527130500,20250528,3.736,20250530,3.7505,0.003881,-0.004015,-0.012473,1
intraday_weak_low,盘中弱势低位预警,next_open,3,20250801,20250801130500,20250804,3.999,20250806,4.0735,0.01863,-0.00125,-0.009179,2
intraday_weak_low,盘中弱势低位预警,next_open,3,20251020,20251020140500,20251021,4.533,20251023,4.593,0.013236,-0.003088,-0.017609,3
intraday_weak_low,盘中弱势低位预警,next_open,3,20251118,20251118130500,20251119,4.555,20251121,4.486,-0.015148,-0.025467,-0.036257,4
intraday_weak_low,盘中弱势低位预警,next_open,3,20251121,20251121130500,20251124,4.456,20251126,4.513,0.012792,-0.010323,-0.011654,5
intraday_weak_low,盘中弱势低位预警,next_open,3,20251127,20251127135000,20251128,4.498,20251202,4.553,0.012228,-0.004002,-0.010734,6
intraday_weak_low,盘中弱势低位预警,next_open,3,20251216,20251216130500,20251217,4.496,20251219,4.578,0.018238,-0.000667,-0.021559,7
intraday_weak_low,盘中弱势低位预警,next_open,3,20260120,20260120130500,20260121,4.709,20260123,4.723,0.002973,-0.004672,-0.016163,8
intraday_weak_low,盘中弱势低位预警,next_open,3,20260123,20260123131500,20260126,4.712,20260128,4.734,0.004669,-0.007003,-0.017017,9
intraday_weak_low,盘中弱势低位预警,next_open,3,20260128,20260128132500,20260129,4.724,20260202,4.6595,-0.013654,-0.028154,-0.039339,10
intraday_weak_low,盘中弱势低位预警,next_open,3,20260202,20260202130500,20260203,4.64,20260205,4.687,0.010129,-0.011853,-0.017781,11
intraday_weak_low,盘中弱势低位预警,next_open,3,20260320,20260320134000,20260323,4.528,20260325,4.5465,0.004086,-0.027164,-0.029094,12
intraday_weak_low,盘中弱势低位预警,next_open,3,20260326,20260326130500,20260327,4.45,20260331,4.496,0.010337,-0.001124,-0.018764,13
intraday_weak_low,盘中弱势低位预警,next_open,3,20260331,20260331130500,20260401,4.52,20260403,4.48,-0.00885,-0.016372,-0.021136,14
intraday_weak_low,盘中弱势低位预警,next_open,3,20260403,20260403130500,20260407,4.455,20260409,4.579,0.027834,-0.005387,-0.018897,15
intraday_weak_low,盘中弱势低位预警,next_open,5,20250527,20250527130500,20250528,3.736,20250604,3.7685,0.008699,-0.004015,-0.012473,1
intraday_weak_low,盘中弱势低位预警,next_open,5,20250801,20250801130500,20250804,3.999,20250808,4.069,0.017504,-0.00125,-0.009542,2
intraday_weak_low,盘中弱势低位预警,next_open,5,20251020,20251020140500,20251021,4.533,20251027,4.7055,0.038054,-0.003088,-0.017609,3
intraday_weak_low,盘中弱势低位预警,next_open,5,20251118,20251118130500,20251119,4.555,20251125,4.487,-0.014929,-0.031833,-0.042553,4
intraday_weak_low,盘中弱势低位预警,next_open,5,20251127,20251127135000,20251128,4.498,20251204,4.541,0.00956,-0.004002,-0.013143,5
intraday_weak_low,盘中弱势低位预警,next_open,5,20251216,20251216130500,20251217,4.496,20251223,4.6285,0.029471,-0.000667,-0.021559,6
intraday_weak_low,盘中弱势低位预警,next_open,5,20260120,20260120130500,20260121,4.709,20260127,4.726,0.00361,-0.006371,-0.017842,7
intraday_weak_low,盘中弱势低位预警,next_open,5,20260127,20260127145500,20260128,4.725,20260203,4.666,-0.012487,-0.02963,-0.040594,8
intraday_weak_low,盘中弱势低位预警,next_open,5,20260204,20260204131500,20260205,4.68,20260211,4.7275,0.01015,-0.014957,-0.018104,9
intraday_weak_low,盘中弱势低位预警,next_open,5,20260320,20260320134000,20260323,4.528,20260327,4.519,-0.001988,-0.027164,-0.029094,10
intraday_weak_low,盘中弱势低位预警,next_open,5,20260331,20260331130500,20260401,4.52,20260408,4.603,0.018363,-0.01969,-0.024439,11
intraday_weak_low,盘中弱势低位预警,next_open,10,20250527,20250527130500,20250528,3.736,20250611,3.803,0.017934,-0.004015,-0.013688,1
intraday_weak_low,盘中弱势低位预警,next_open,10,20250801,20250801130500,20250804,3.999,20250815,4.1755,0.044136,-0.00125,-0.015072,2
intraday_weak_low,盘中弱势低位预警,next_open,10,20251020,20251020140500,20251021,4.533,20251103,4.642,0.024046,-0.003088,-0.035571,3
intraday_weak_low,盘中弱势低位预警,next_open,10,20251118,20251118130500,20251119,4.555,20251202,4.553,-0.000439,-0.031833,-0.042553,4
intraday_weak_low,盘中弱势低位预警,next_open,10,20251216,20251216130500,20251217,4.496,20251230,4.6585,0.036143,-0.000667,-0.021559,5
intraday_weak_low,盘中弱势低位预警,next_open,10,20260120,20260120130500,20260121,4.709,20260203,4.666,-0.009131,-0.026333,-0.040594,6
intraday_weak_low,盘中弱势低位预警,next_open,10,20260204,20260204131500,20260205,4.68,20260226,4.7445,0.013782,-0.014957,-0.018104,7
intraday_weak_low,盘中弱势低位预警,next_open,10,20260320,20260320134000,20260323,4.528,20260403,4.48,-0.010601,-0.027164,-0.029094,8
intraday_weak_low,盘中弱势低位预警,next_open,10,20260403,20260403130500,20260407,4.455,20260420,4.771,0.070932,-0.005387,-0.018897,9
