rule_name,rule_label,fill_mode,horizon_days,signal_date,signal_time,entry_date,entry_price,exit_date,exit_price,return_pct,mae_pct,max_drawdown_pct,strategy_trade_no
intraday_weak_low,盘中弱势低位预警,next_open,20,20250527,20250527130500,20250528,3.736,20250625,3.879,0.038276,-0.004015,-0.019407,1
intraday_weak_low,盘中弱势低位预警,next_open,20,20250801,20250801130500,20250804,3.999,20250829,4.484,0.12128,-0.00125,-0.029807,2
intraday_weak_low,盘中弱势低位预警,next_open,20,20251020,20251020140500,20251021,4.533,20251117,4.602,0.015222,-0.003088,-0.043359,3
intraday_weak_low,盘中弱势低位预警,next_open,20,20251118,20251118130500,20251119,4.555,20251216,4.5205,-0.007574,-0.031833,-0.044051,4
intraday_weak_low,盘中弱势低位预警,next_open,20,20251216,20251216130500,20251217,4.496,20260115,4.7615,0.059052,-0.000667,-0.025609,5
intraday_weak_low,盘中弱势低位预警,next_open,20,20260120,20260120130500,20260121,4.709,20260225,4.764,0.01168,-0.026333,-0.040594,6
intraday_weak_low,盘中弱势低位预警,next_open,20,20260320,20260320134000,20260323,4.528,20260420,4.771,0.053666,-0.027164,-0.029094,7
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20250527,20250527130500,20250527,3.737,20250529,3.7615,0.006556,-0.002676,-0.010616,1
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20250801,20250801130500,20250801,4.017,20250805,4.061,0.010953,-0.005726,-0.011141,2
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20251020,20251020140500,20251020,4.514,20251022,4.5785,0.014289,-0.00288,-0.015435,3
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20251118,20251118130500,20251118,4.566,20251120,4.5795,0.002957,-0.005475,-0.012158,4
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20251121,20251121130500,20251121,4.477,20251125,4.487,0.002234,-0.014965,-0.026705,5
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20251127,20251127135000,20251127,4.516,20251201,4.5645,0.01074,-0.007972,-0.015601,6
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20251216,20251216130500,20251216,4.49,20251218,4.557,0.014922,-0.002673,-0.021559,7
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20260120,20260120130500,20260120,4.715,20260122,4.7435,0.006045,-0.005726,-0.01326,8
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20260123,20260123131500,20260123,4.718,20260127,4.726,0.001696,-0.008266,-0.017017,9
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20260128,20260128132500,20260128,4.718,20260130,4.7345,0.003497,-0.016109,-0.028667,10
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20260202,20260202130500,20260202,4.655,20260204,4.708,0.011386,-0.015038,-0.028396,11
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20260320,20260320134000,20260320,4.611,20260324,4.4795,-0.028519,-0.044676,-0.049622,12
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20260326,20260326130500,20260326,4.519,20260330,4.5025,-0.003651,-0.016375,-0.022432,13
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20260331,20260331130500,20260331,4.487,20260402,4.5075,0.004569,-0.005572,-0.015852,14
intraday_weak_low,盘中弱势低位预警,same_bar_close,3,20260403,20260403130500,20260403,4.457,20260408,4.603,0.032757,-0.005834,-0.018897,15
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20250527,20250527130500,20250527,3.737,20250603,3.7535,0.004415,-0.004282,-0.012473,1
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20250801,20250801130500,20250801,4.017,20250807,4.0785,0.01531,-0.005726,-0.011141,2
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20251020,20251020140500,20251020,4.514,20251024,4.648,0.029685,-0.00288,-0.017609,3
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20251118,20251118130500,20251118,4.566,20251124,4.448,-0.025843,-0.034166,-0.042553,4
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20251127,20251127135000,20251127,4.516,20251203,4.5415,0.005647,-0.007972,-0.015601,5
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20251216,20251216130500,20251216,4.49,20251222,4.6095,0.026615,-0.002673,-0.021559,6
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20260120,20260120130500,20260120,4.715,20260126,4.736,0.004454,-0.005938,-0.016163,7
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20260127,20260127145500,20260127,4.704,20260202,4.6595,-0.00946,-0.024022,-0.039339,8
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20260204,20260204131500,20260204,4.656,20260210,4.736,0.017182,-0.00988,-0.021024,9
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20260320,20260320134000,20260320,4.611,20260326,4.5175,-0.020278,-0.044676,-0.049622,10
intraday_weak_low,盘中弱势低位预警,same_bar_close,5,20260331,20260331130500,20260331,4.487,20260407,4.458,-0.006463,-0.01248,-0.024439,11
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,20250527,20250527130500,20250527,3.737,20250610,3.7775,0.010838,-0.004282,-0.013688,1
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,20250801,20250801130500,20250801,4.017,20250814,4.1565,0.034727,-0.005726,-0.013158,2
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,20251020,20251020140500,20251020,4.514,20251031,4.668,0.034116,-0.00288,-0.025047,3
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,20251118,20251118130500,20251118,4.566,20251201,4.5645,-0.000329,-0.034166,-0.042553,4
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,20251216,20251216130500,20251216,4.49,20251229,4.6555,0.03686,-0.002673,-0.021559,5
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,20260120,20260120130500,20260120,4.715,20260202,4.6595,-0.011771,-0.026299,-0.039339,6
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,20260204,20260204131500,20260204,4.656,20260225,4.764,0.023196,-0.00988,-0.021024,7
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,20260320,20260320134000,20260320,4.611,20260402,4.5075,-0.022446,-0.044676,-0.049622,8
intraday_weak_low,盘中弱势低位预警,same_bar_close,10,20260403,20260403130500,20260403,4.457,20260417,4.7445,0.064505,-0.005834,-0.018897,9
intraday_weak_low,盘中弱势低位预警,same_bar_close,20,20250527,20250527130500,20250527,3.737,20250624,3.82,0.02221,-0.004282,-0.019407,1
intraday_weak_low,盘中弱势低位预警,same_bar_close,20,20250801,20250801130500,20250801,4.017,20250828,4.437,0.104556,-0.005726,-0.029807,2
intraday_weak_low,盘中弱势低位预警,same_bar_close,20,20251020,20251020140500,20251020,4.514,20251114,4.6455,0.029132,-0.00288,-0.043359,3
intraday_weak_low,盘中弱势低位预警,same_bar_close,20,20251118,20251118130500,20251118,4.566,20251215,4.5665,0.00011,-0.034166,-0.044051,4
intraday_weak_low,盘中弱势低位预警,same_bar_close,20,20251216,20251216130500,20251216,4.49,20260114,4.7845,0.06559,-0.002673,-0.025609,5
intraday_weak_low,盘中弱势低位预警,same_bar_close,20,20260120,20260120130500,20260120,4.715,20260224,4.726,0.002333,-0.027572,-0.040594,6
intraday_weak_low,盘中弱势低位预警,same_bar_close,20,20260320,20260320134000,20260320,4.611,20260417,4.7445,0.028953,-0.044676,-0.049622,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20250527,20250527131000,20250528,3.736,20250530,3.7505,0.003881,-0.004015,-0.012473,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20250801,20250801131000,20250804,3.999,20250806,4.0735,0.01863,-0.00125,-0.009179,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20251020,20251020143000,20251021,4.533,20251023,4.593,0.013236,-0.003088,-0.017609,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20251118,20251118132500,20251119,4.555,20251121,4.486,-0.015148,-0.025467,-0.036257,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20251127,20251127150000,20251128,4.498,20251202,4.553,0.012228,-0.004002,-0.010734,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20260122,20260122144500,20260123,4.732,20260127,4.726,-0.001268,-0.0112,-0.017017,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20260202,20260202131000,20260203,4.64,20260205,4.687,0.010129,-0.011853,-0.017781,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20260323,20260323130500,20260324,4.463,20260326,4.5175,0.012212,-0.012996,-0.016741,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20260326,20260326132000,20260327,4.45,20260331,4.496,0.010337,-0.001124,-0.018764,9
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,3,20260403,20260403131500,20260407,4.455,20260409,4.579,0.027834,-0.005387,-0.018897,10
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,20250527,20250527131000,20250528,3.736,20250604,3.7685,0.008699,-0.004015,-0.012473,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,20250801,20250801131000,20250804,3.999,20250808,4.069,0.017504,-0.00125,-0.009542,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,20251020,20251020143000,20251021,4.533,20251027,4.7055,0.038054,-0.003088,-0.017609,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,20251118,20251118132500,20251119,4.555,20251125,4.487,-0.014929,-0.031833,-0.042553,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,20251127,20251127150000,20251128,4.498,20251204,4.541,0.00956,-0.004002,-0.013143,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,20260122,20260122144500,20260123,4.732,20260129,4.7735,0.00877,-0.0112,-0.017017,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,20260202,20260202131000,20260203,4.64,20260209,4.7285,0.019073,-0.011853,-0.021024,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,20260323,20260323130500,20260324,4.463,20260330,4.5025,0.008851,-0.012996,-0.022862,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,5,20260403,20260403131500,20260407,4.455,20260413,4.656,0.045118,-0.005387,-0.018897,9
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,10,20250527,20250527131000,20250528,3.736,20250611,3.803,0.017934,-0.004015,-0.013688,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,10,20250801,20250801131000,20250804,3.999,20250815,4.1755,0.044136,-0.00125,-0.015072,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,10,20251020,20251020143000,20251021,4.533,20251103,4.642,0.024046,-0.003088,-0.035571,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,10,20251118,20251118132500,20251119,4.555,20251202,4.553,-0.000439,-0.031833,-0.042553,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,10,20260122,20260122144500,20260123,4.732,20260205,4.687,-0.00951,-0.031065,-0.040594,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,10,20260323,20260323130500,20260324,4.463,20260407,4.458,-0.00112,-0.012996,-0.02594,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,20,20250527,20250527131000,20250528,3.736,20250625,3.879,0.038276,-0.004015,-0.019407,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,20,20250801,20250801131000,20250804,3.999,20250829,4.484,0.12128,-0.00125,-0.029807,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,20,20251020,20251020143000,20251021,4.533,20251117,4.602,0.015222,-0.003088,-0.043359,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,20,20251118,20251118132500,20251119,4.555,20251216,4.5205,-0.007574,-0.031833,-0.044051,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,20,20260122,20260122144500,20260123,4.732,20260227,4.7285,-0.00074,-0.031065,-0.040594,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,next_open,20,20260323,20260323130500,20260324,4.463,20260421,4.781,0.071253,-0.012996,-0.02594,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20250527,20250527131000,20250527,3.74,20250529,3.7615,0.005749,-0.003476,-0.010616,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20250801,20250801131000,20250801,4.017,20250805,4.061,0.010953,-0.005726,-0.011141,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20251020,20251020143000,20251020,4.51,20251022,4.5785,0.015188,-0.001996,-0.015435,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20251118,20251118132500,20251118,4.56,20251120,4.5795,0.004276,-0.004167,-0.012158,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20251127,20251127150000,20251127,4.499,20251201,4.5645,0.014559,-0.004223,-0.015601,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20260122,20260122144500,20260122,4.717,20260126,4.736,0.004028,-0.00636,-0.015336,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20260202,20260202131000,20260202,4.657,20260204,4.708,0.010951,-0.015461,-0.028396,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20260323,20260323130500,20260323,4.488,20260325,4.5465,0.013035,-0.018494,-0.029094,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20260326,20260326132000,20260326,4.504,20260330,4.5025,-0.000333,-0.013099,-0.022432,9
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,3,20260403,20260403131500,20260403,4.456,20260408,4.603,0.032989,-0.00561,-0.018897,10
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,20250527,20250527131000,20250527,3.74,20250603,3.7535,0.00361,-0.00508,-0.012473,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,20250801,20250801131000,20250801,4.017,20250807,4.0785,0.01531,-0.005726,-0.011141,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,20251020,20251020143000,20251020,4.51,20251024,4.648,0.030599,-0.001996,-0.017609,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,20251118,20251118132500,20251118,4.56,20251124,4.448,-0.024561,-0.032895,-0.042553,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,20251127,20251127150000,20251127,4.499,20251203,4.5415,0.009447,-0.004223,-0.015601,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,20260122,20260122144500,20260122,4.717,20260128,4.734,0.003604,-0.008056,-0.017017,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,20260202,20260202131000,20260202,4.657,20260206,4.67,0.002791,-0.015461,-0.028396,7
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,20260323,20260323130500,20260323,4.488,20260327,4.519,0.006907,-0.018494,-0.029094,8
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,5,20260403,20260403131500,20260403,4.456,20260410,4.653,0.04421,-0.00561,-0.018897,9
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,10,20250527,20250527131000,20250527,3.74,20250610,3.7775,0.010027,-0.00508,-0.013688,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,10,20250801,20250801131000,20250801,4.017,20250814,4.1565,0.034727,-0.005726,-0.013158,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,10,20251020,20251020143000,20251020,4.51,20251031,4.668,0.035033,-0.001996,-0.025047,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,10,20251118,20251118132500,20251118,4.56,20251201,4.5645,0.000987,-0.032895,-0.042553,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,10,20260122,20260122144500,20260122,4.717,20260204,4.708,-0.001908,-0.027984,-0.040594,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,10,20260323,20260323130500,20260323,4.488,20260403,4.48,-0.001783,-0.018494,-0.029094,6
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,20,20250527,20250527131000,20250527,3.74,20250624,3.82,0.02139,-0.00508,-0.019407,1
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,20,20250801,20250801131000,20250801,4.017,20250828,4.437,0.104556,-0.005726,-0.029807,2
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,20,20251020,20251020143000,20251020,4.51,20251114,4.6455,0.030044,-0.001996,-0.043359,3
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,20,20251118,20251118132500,20251118,4.56,20251215,4.5665,0.001425,-0.032895,-0.044051,4
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,20,20260122,20260122144500,20260122,4.717,20260226,4.7445,0.00583,-0.027984,-0.040594,5
intraday_weak_volume_repair,盘中弱势低位-量能修复,same_bar_close,20,20260323,20260323130500,20260323,4.488,20260420,4.771,0.063057,-0.018494,-0.029094,6
