rule_name,rule_label,entry_offset_bars,horizon_days,strategy_trade_count,month_count,win_rate,avg_return,median_return,compounded_return,min_return,avg_mae,worst_mae,avg_max_drawdown
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,3,13,9,0.846154,0.007471,0.009449,0.100468,-0.025984,-0.009426,-0.042183,-0.020288
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,5,10,8,0.7,0.004259,0.004648,0.042,-0.024989,-0.013138,-0.042183,-0.024041
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,10,8,8,0.75,0.020071,0.022477,0.169425,-0.019896,-0.015514,-0.042183,-0.02814
intraday_weak_late_low,盘中弱势低位-低点偏晚,1,20,7,7,1.0,0.037278,0.029132,0.287399,0.000986,-0.016865,-0.042183,-0.036064
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,3,13,9,0.846154,0.007681,0.008315,0.10351,-0.025136,-0.009218,-0.041349,-0.020288
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,5,10,8,0.7,0.004518,0.004353,0.044675,-0.025416,-0.012886,-0.041349,-0.024041
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,10,8,8,0.75,0.020167,0.022506,0.170336,-0.019042,-0.01542,-0.041349,-0.02814
intraday_weak_late_low,盘中弱势低位-低点偏晚,2,20,7,7,1.0,0.037466,0.030044,0.288979,0.000548,-0.016694,-0.041349,-0.036064
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,3,13,9,0.846154,0.008494,0.009903,0.115166,-0.024287,-0.008418,-0.040514,-0.020288
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,5,10,8,0.7,0.005164,0.004542,0.051468,-0.024775,-0.012247,-0.040514,-0.024041
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,10,8,8,0.75,0.020631,0.022821,0.174593,-0.018188,-0.014974,-0.040514,-0.02814
intraday_weak_late_low,盘中弱势低位-低点偏晚,3,20,7,7,1.0,0.037881,0.029816,0.292509,0.001206,-0.016311,-0.040514,-0.036064
intraday_weak_low,盘中弱势低位预警,1,3,15,9,0.866667,0.005983,0.006045,0.09237,-0.028519,-0.010709,-0.044676,-0.020491
intraday_weak_low,盘中弱势低位预警,1,5,11,8,0.636364,0.003747,0.004454,0.040328,-0.025843,-0.014067,-0.044676,-0.024684
intraday_weak_low,盘中弱势低位预警,1,10,9,9,0.666667,0.0188,0.023196,0.179107,-0.022446,-0.01521,-0.044676,-0.02721
intraday_weak_low,盘中弱势低位预警,1,20,7,7,1.0,0.036087,0.028953,0.276839,0.00011,-0.01746,-0.044676,-0.036064
intraday_weak_low,盘中弱势低位预警,2,3,15,9,0.866667,0.006199,0.005465,0.09592,-0.028729,-0.010495,-0.044883,-0.020491
intraday_weak_low,盘中弱势低位预警,2,5,11,8,0.636364,0.003581,0.003815,0.038429,-0.025416,-0.014469,-0.044883,-0.024798
intraday_weak_low,盘中弱势低位预警,2,10,9,9,0.777778,0.018601,0.02166,0.177007,-0.022658,-0.015404,-0.044883,-0.02721
intraday_weak_low,盘中弱势低位预警,2,20,7,7,1.0,0.036118,0.028729,0.277051,0.000548,-0.017435,-0.044883,-0.036064
intraday_weak_low,盘中弱势低位预警,3,3,15,9,0.866667,0.006531,0.006556,0.101326,-0.028729,-0.010167,-0.044883,-0.020491
intraday_weak_low,盘中弱势低位预警,3,5,11,8,0.636364,0.003583,0.004415,0.038442,-0.024989,-0.014464,-0.044883,-0.024798
intraday_weak_low,盘中弱势低位预警,3,10,9,9,0.777778,0.018845,0.021003,0.179494,-0.022658,-0.015172,-0.044883,-0.02721
intraday_weak_low,盘中弱势低位预警,3,20,7,7,1.0,0.036403,0.028729,0.279424,0.000986,-0.017172,-0.044883,-0.036064
intraday_weak_volume_repair,盘中弱势低位-量能修复,1,3,9,8,0.888889,0.010836,0.011168,0.101455,-0.000333,-0.008191,-0.018275,-0.018167
intraday_weak_volume_repair,盘中弱势低位-量能修复,1,5,8,8,0.875,0.010395,0.005475,0.084674,-0.024775,-0.01158,-0.033107,-0.022148
intraday_weak_volume_repair,盘中弱势低位-量能修复,1,10,6,6,0.666667,0.012926,0.005397,0.079292,-0.001696,-0.015286,-0.033107,-0.027356
intraday_weak_volume_repair,盘中弱势低位-量能修复,1,20,6,6,1.0,0.037801,0.025717,0.244906,0.001206,-0.015286,-0.033107,-0.034385
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,3,9,8,1.0,0.011876,0.012255,0.111671,0.001446,-0.007175,-0.015642,-0.018167
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,5,8,8,0.875,0.01134,0.007123,0.092787,-0.023919,-0.01066,-0.032258,-0.022148
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,10,6,6,0.833333,0.013818,0.006242,0.084981,-0.003176,-0.014417,-0.032258,-0.027356
intraday_weak_volume_repair,盘中弱势低位-量能修复,2,20,6,6,1.0,0.038739,0.026585,0.251468,0.002085,-0.014417,-0.032258,-0.034385
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,3,9,8,1.0,0.012056,0.012718,0.11345,0.001223,-0.007,-0.016082,-0.018167
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,5,8,8,0.875,0.01157,0.008032,0.094777,-0.024775,-0.010433,-0.033107,-0.022148
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,10,6,6,0.833333,0.013688,0.006209,0.084153,-0.002754,-0.01454,-0.033107,-0.027356
intraday_weak_volume_repair,盘中弱势低位-量能修复,3,20,6,6,1.0,0.038607,0.026653,0.250515,0.001206,-0.01454,-0.033107,-0.034385
